title,snippet,label
84. Private jet firm says it was duped over Carlos Ghosn escape,A Turkish private jet company has claimed it was duped into hiring the aircraft used to help the fugitive automotive boss Carlos Ghosn make a daring e …,Business
87. Ricky Gervais isn't the Golden Globes host we want – but the one we deserve,"Ricky Gervais should not host the Golden Globes this year. He has said as much himself, again and again and again. The first time he was apparently go …",Film
93. Why Iain Duncan Smith knighthood was ‘slap in the face’,"The new year honours list is a reliable source of controversy, with perennial outrage about the worthiness of the recipients. But the knighthood given …",Politics
97. Golden Globes: who will win and who should win the film awards?,"Summary: Best film (drama) The best film category is dominated – just like everything else in the cultural conversation around movies – by Netflix, which has t …",Film
98. Dominic Cummings' call for No 10 staff may break employment law,"A rambling blogpost by Boris Johnson’s chief adviser, Dominic Cummings, calling for “weirdos and misfits with odd skills” to apply for jobs within No …",Politics
100. Credit card repayments exceed borrowing for first time since 2013 - as it happened,"Summary: Traders woke up to news that US air strikes killed a top Iranian general, raising fresh fears of conflict between Washington and Tehran The news cause …",Business
"103. US failing to give UK warning of military strikes, says senior MP","The UK was not informed in advance of the US airstrike that killed Iran’s top general, it has been claimed, as the British government scrambled to pro …",Politics
108. Andrew Miller obituary,"Andrew Miller, the former Labour MP, who has died aged 70, was partly responsible for one of the most far-reaching pieces of employment legislation to …",Politics
110. Yorkshire and Clydesdale banks hit by IT failure,Customers of Clydesdale and Yorkshire banks have become the latest customers to fall victim to an IT failure after wages and other payments failed to …,Business
114. Jess Phillips confirms she will stand for Labour leadership,"Jess Phillips has announced she will stand as a candidate in the Labour leadership contest. The Birmingham Yardley MP joins Emily Thornberry, Clive Le …",Politics
115. Lisa Nandy enters Labour leadership race with call for change,"The Wigan MP Lisa Nandy has announced she will enter the Labour leadership race, with a stark warning to party members that “unless we change course, …",Politics
119. The most exciting movies of 2020 – foreign language,"The Whistlers A bent detective becomes entangled in the crimes he’s investigating in Corneliu Porumboiu’s nifty, twisty drama. This one premiered at C …",Film
"124. Forget Cats: in a close-run field, Marriage Story was the musical highlight of my holiday","Summary: So, apparently there was lots of good TV on over the holiday break. Some book adaptations, perhaps? Maybe a sexed-up period drama? Alas, I missed it a …",Film
131. Hunt: US confrontation with Iran is 'dangerous game of chicken',Jeremy Hunt has called the US’s escalating confrontation with Iran over the assassination of Tehran’s top general an “incredibly dangerous game of chi …,Politics
135. The Gentlemen review – Guy Ritchie’s dated gangster romp,"Guy Ritchie’s latest gangster comedy presents itself as a harmless romp, but behind its wink-wink-nudge-nudge humour is a bitter and dated worldview. …",Film
"140. Carlos Ghosn: an arrest, an escape, and questions about justice in Japan","Carlos Ghosn’s dramatic escape from Japan to Lebanon last week has raised many questions over how he pulled off such an audacious act, but his motives …",Business
142. Renault alliance struggles to cope with gaping hole left by Carlos Ghosn,"Even before Carlos Ghosn jumped bail in the manner of a Hollywood thriller, the former executive had secured his place in automotive history. Before h …",Business
147. Terry Gilliam faces backlash after labeling #MeToo a 'witch-hunt',"The director Terry Gilliam has invited renewed backlash after repeating his claim that he is a “black lesbian in transition”, assailing the #MeToo mov …",Film
"148. I was taught that if you have a voice, you use it to help others","Anyone standing for leader of the Labour party has a responsibility to speak truth, because without that we will never win power. We cannot spend the …",Politics
159. Amanda review – muted Paris terror attack drama,"This tasteful, muted exploration of personal trauma imagines the aftermath of a fictional terrorist attack in modern-day Paris, presumably inspired by …",Film
165. Dominic Cummings warned over civil service shake-up plan,"Summary: Dominic Cummings should stop denigrating senior civil servants by lumping them together as part of the same Oxbridge-educated, dinner party elite if h …",Politics
"166. Britain 'on same page' as US over Suleimani killing, says Raab",Dominic Raab has said Britain is “on the same page” as the US in relation to Friday’s assassination of the Iranian general Qassem Suleimani. Amid cont …,Politics
"167. From Scorsese to The Crown, Netflix gets set for Golden Globes glory",Summary: Betting odds predict the loudest sounds of cheering and popping corks in Los Angeles on Sunday night will come from inside the Beverly Hilton Hotel. F …,Film
172. Paolo Sorrentino: ‘My characters’ struggles are the struggles I have’,"The Naples-born director and screenwriter Paolo Sorrentino had his first screenplay made when he was in his 20s, and has since written and directed ni …",Film
177. How will the Labour leadership contest work?,"When does the Labour leadership race kick off? Campaigning has already begun, with candidates including Jess Phillips and Sir Keir Starmer having laun …",Politics
181. Labour leadership: Jess Phillips says party could argue to rejoin EU,"Labour leadership contender Jess Phillips has said she could envisage campaigning to re-enter the European Union at the next general election, ahead o …",Politics
183. Boris Johnson: Qassem Suleimani was threat to all our interests,"Boris Johnson has said that assassinated Iranian general Qassem Suleimani was “a threat to all our interests”, and that while “we will not lament his …",Politics
184. Burger King's new plant-based burger is not suitable for vegans,"Burger King has launched its first plant-based burger in the UK, but it is not suitable for vegans because of the way it is cooked. The soy-based vers …",Business
185. Russell Crowe and Cate Blanchett use Golden Globes speeches to link Australian fires to climate crisis,"Russell Crowe and Cate Blanchett have used their Golden Globes speeches to highlight Australia’s bushfire crisis, and the link between climate change …",Film
186. Golden Globes 2020: British winners soar as Ricky Gervais crashes – as it happened,"It was a rather lacklustre night at the Globes, a shame for a star-packed ceremony that can often be rather loose and fun, despite some wacky choices. …",Film
188. Our readers reveal how they'll have their last fling with the EU,Summary: British citizens will no longer be EU citizens from 31 January if the withdrawal agreement Boris Johnson sealed in October is ratified. But Brexit day …,Politics
192. 40% rise in public companies opting to leave stock exchange,"The number of publicly listed companies opting to leave the stock exchange and become private firms soared 40% last year, figures show. According to p …",Business
193. Apocalypse now-ish: what can we learn from films set in 2020?,"2019 and 2020 may only be separated by a year, but linguistically, they’re much farther apart. The words “two thousand and nineteen” just don’t have t …",Film
194. 1917's Golden Globes glory fair reward for thrilling and distinguished work,"The Golden Globes were making the familiar series of safe commercial bets, of course, but there were some great movies being distinguished, too, and t …",Film
196. Ricky Gervais is wrong: political engagement at the Golden Globes was essential,"“You know nothing about the real world,” Ricky Gervais told the audience at Sunday night’s Golden Globe awards. “Most of you spent less time in school …",Film
199. Peace in our time: why 'pacifist war movies' such as 1917 are on the march,"War movies used to celebrate military leaders (George C Scott’s Patton, Lawrence of Arabia) or courageous crack squads (The Dambusters, The Dirty Doze …",Film
207. How did you overcome your Brexit family fallouts?,"The 2016 EU referendum result threw families, friends and couples into bitter conflict. As Brexit finally arrives, we want to hear from people who man …",Politics
210. The biggest Golden Globes snubs on a night of surprises,"Netflix stumbles at final hurdle Before the Globes, Hollywood was readying the knee cushions as it prepared to genuflect before the streaming giant, w …",Film
213. Why Michelle Williams is the real winner of this year's Golden Globes,Everyone knows that it’s not only what you win or who you wear that counts at an awards ceremony – it’s what you say. And were there a prize for most …,Film
214. Dominic Cummings not allowed to directly hire civil servants – No 10,"Boris Johnson’s chief adviser, Dominic Cummings, will not be allowed to bypass Whitehall’s usual recruitment processes when recruiting “weirdos” and “ …",Politics
217. Northern Ireland firms could seek £100m Brexit compensation,Boris Johnson is facing demands for cash compensation that could run to more than £100m for any disruption caused by Brexit to Northern Ireland’s busi …,Politics
219. Let it Go! Why the mayor of Hallstatt is telling Frozen fans to stay away,"Name: Hallstatt, Austria. Age: Archaeology suggests the area has been settled for about 3,000 years. Appearance: Like a fairytale alpine village, but …",Film
223. Oil hits $70 and stocks slide as US-Iran tensions rise – as it happened,"And finally, European stock markets have closed in the red, although they did recover some of their losses. The FTSE 100 ended 47 points lower at 7,57 …",Business
"224. Labour leadership: NEC decides contest to last three months, with result announced Saturday 4 April – as it happened","Summary: Labour’s new leader and deputy leader will be announced at a special conference on 4 April, with prospective supporters given a 48-hour window next we …",Politics
228. Nicky Morgan to keep retiring MP payment despite role in Lords,"Nicky Morgan, the culture secretary who stood down as an MP only to be elevated weeks later to the House of Lords, is planning to keep an £8,400 payme …",Politics
229. Labour leadership contenders urged to oppose clear-out of staff members,Labour’s main leadership contenders have been urged to join calls for a halt to a party reorganisation that would result in multiple sackings of party …,Politics
232. Renewables beat fossil fuels on 137 days in greenest year for UK energy,Energy produced by the UK’s renewable sector outpaced fossil fuel plants on a record 137 days in 2019 to help the country’s energy system record its g …,Business
"235. Labour must ditch 'ideological purity', says Rosena Allin-Khan","Labour must move past the factionalism and “ideological purity” that has alienated voters across the country, the shadow minister Rosena Allin-Khan ha …",Politics
237. Brexit weekly briefing: UK counts down to 31 January departure,"Welcome to the Guardian’s weekly Brexit briefing. If you’d like to receive this as a weekly email, sign up here. You can catch our latest Brexit Means …",Politics
238. Baftas 2020: British film awards on back foot after diversity row,The British Academy of Film and Television Arts (Bafta) are on the back foot after incurring heavy criticism over the lack of diversity in their nomin …,Film
240. The full list of nominations for the Baftas 2020,Summary: Best film 1917 The Irishman Joker Once Upon a Time in Hollywood Parasite Best British film 1917 Bait For Sama Rocketman Sorry We Missed You The Two Po …,Film
247. Colossally overrated Joker beneficiary of Bafta awards groupthink,The Bafta nominations have been announced and the list contains an innovation for which insiders have been calling for years: a new category for casti …,Film
249. Deadly charms: can Kit Harington survive Marvel's The Eternals?,"Almost nothing is known about The Eternals, Marvel’s first real jump into post-Endgame storytelling. We know that it’ll star Angelina Jolie, Richard M …",Film
253. High street crisis: which big names closed stores in the past year?,It was another torrid year for Britain’s retail industry. Thousands of high street jobs were lost in 2019 as a number of major retailers or restaurant …,Business
255. No 10 to scrap plans for Whitehall shake-up as it vows to cut waste,"Downing Street is likely to abandon ambitious plans to reshape or merge a series of ministerial departments, and will instead focus on more traditiona …",Politics
263. IMF boss says raise taxes on the rich to tackle inequality,"Raising income tax on the wealthy will help close the growing gap between rich and poor and can be done without harming growth, the head of the Intern …",Business
264. Long-Bailey scores Corbyn '10 out of 10' as she launches campaign,Rebecca Long-Bailey has said Jeremy Corbyn scored “10 out of 10” as leader of the Labour party as she kicked off her campaign to succeed him. The shad …,Politics
269. US trade deficit hits three-year low; Rolls-Royce record sales - as it happened,"Finally, here’s Reuters’ take on the US trade figures: The U.S. trade deficit fell to a more than three-year low in November as imports declined furth …",Business
270. Scotland to introduce emergency measures as Javid postpones budget,"The Scottish parliament is to introduce an emergency budget process, after the chancellor postponed the UK budget until mid-March. Derek Mackay, the S …",Politics
271. Woodford and partner took £13.8m dividend in run-up to fund crisis,Summary: Neil Woodford and his business partner took £13.8m in dividends last year from their investment management company months before the implosion of its …,Business
272. 'Most terrifying experience of my life': Cats viewers on seeing the film on drugs,"Readers of the Washington Post have found a way to watch Cats, the big-screen adaptation of the famous musical that’s reckoned to have lost more than …",Film
273. Parliament returns and Tory majority gives idiots licence to be idiots,"Boris Johnson rolled over in bed and groaned. It was hard to know which was worse. The sunburn or the jet lag. He closed his eyes, willing himself bac …",Politics
"274. High street crisis deepens as 3,150 staff lose jobs in a week","Mothercare and Links of London will disappear from UK high streets this week as 94 stores close their doors for good, resulting in 3,150 job losses. A …",Business
275. Woodford fund debacle shows an investment industry high on hubris,"Summary: Surprise, surprise. Neil Woodford, a fund manager who saw no problem in charging £60,000-a-day fees on a fund that was suspended, also thought it acce …",Business
276. US trade deficit falls to three-year low in wake of China standoff,Summary: The gap between US imports and exports shrank to its lowest level in three years in November following a 15% decline in the country’s annual trade def …,Business
281. Lisa Nandy and Jess Phillips tell Labour: we must change to survive,Labour leadership candidates Lisa Nandy and Jess Phillips won applause from MPs at a hustings for warning that a serious change of course is needed fo …,Politics
282. Keir Starmer and Lord Dubs urge Tory MPs to rebel over child refugees,"Labour has urged Conservative MPs to defy the government and vote to restore a commitment to family reunion for child refugees in Brexit legislation, …",Politics
"284. Underwater review – Kristen Stewart's soggy, silly monster movie","Diving into the January release schedule, unofficial dumping ground of studios, can give one a sinking feeling here in the US. After being spoiled by …",Film
288. Why Iran crisis is unlikely to hit US consumers hard at the gas pumps,For many older Americans the thought of war in the Middle East will trigger memories of soaring gas prices and long lines at the pumps. But as US rela …,Business
289. Dominic Raab says Iran missile strikes 'reckless and dangerous',"Britain has urged Iran not to repeat what the foreign secretary, Dominic Raab, described as “reckless and dangerous” attacks after missiles were fired …",Politics
291. Carlos Ghosn to make first public appearance since Japan escape,"Carlos Ghosn is to make his first public appearance since his extraordinary escape from Japan, where he faced charges of financial misconduct while ch …",Business
"295. Part dinosaur, part Mars bar … it's the Avatar-inspired Mercedes-Benz!","Avatar superfans have had it rough this last decade. With the sequels to the 2009 movie delayed time and time again, they’ve had vanishingly few oppor …",Film
296. Carlos Ghosn's wife says his escape from Japan was 'beautiful surprise',"Carole Ghosn, the wife of the fugitive former Nissan boss Carlos Ghosn, has insisted she had no idea about his plan to flee Japan and was surprised wh …",Business
301. The Runaways review – a bumpy escape … by donkey,"One or two nice moments in this British family adventure drama, a feature debut written and directed by the TV documentary-maker Richard Heap. But it …",Film
303. Argos toys slump dents Sainsbury’s Christmas sales,"Poor sales of toys and video games dented the performance of Argos over the Christmas period, the chain’s owner, Sainsbury’s, saying nervous shoppers …",Business
304. Record high in Hollywood films with female lead characters,"Summary: In what is likely to be seen as a boost for Hollywood’s drive to redress decades of male dominance on screen, a new report suggests that a record perc …",Film
307. Real-life inspiration for stripper drama Hustlers sues film's producers for $40m,"Samantha Barbash, the former stripper who inspired Jennifer Lopez’s character in the hit drama Hustlers, is suing the companies behind the film for $4 …",Film
308. Keir Starmer’s Labour leadership bid wins backing of MPs and Unison,"Summary: Keir Starmer’s Labour leadership campaign has received a boost after he won the backing of the UK’s biggest trade union, Unison, and became the first …",Politics
309. Lullaby review – bad-nanny thriller up past its bedtime,"If a young couple hire an apparently perfect nanny to look after their two young children, allowing them to return to the carefree world of socialisin …",Film
312. Carlos Ghosn insists he is innocent over fraud charge 'plot' – business live,"A late markets newsflash. The oil price is sliding, and shares are jumping on Wall Street, after Donald Trump spoke about the Iran crisis. The US pres …",Business
313. Peter Wollen obituary,"Summary: Peter Wollen, who has died aged 81 after suffering from Alzheimer’s disease, did much to launch film studies in the UK and US. In 1967 the pioneering …",Film
315. Labour leadership contest: Boost for Starmer's campaign as he gets Unison's backing – as it happened,"Ursula von der Leyen, the president of the European commission, has said it will be “impossible” for the UK to negotiate a comprehensive deal covering …",Politics
316. 'A kind of nightmare': Carlos Ghosn's press conference – key points,"Carlos Ghosn, the former Renault-Nissan chair, made his long-awaited appearance before the world’s media on Wednesday at a lengthy and often rambling …",Business
317. Can Joaquin Phoenix save the planet by wearing one tuxedo for the whole awards season?,"At last some good news for the planet: in conjunction with a general plea for sustainability, Joker star Joaquin Phoenix has vowed to re-purpose his G …",Film
319. Johnson's first meeting with Von der Leyen lays trade deal faultlines bare,"If the European School in the leafy Uccle suburb of Brussels teaches its high-flying pupils anything, it is how to be diplomatic. It came as little su …",Politics
"321. Amid the fury and bombast, Ghosn’s case deserves proper examination","Summary: Carlos Ghosn, live from Lebanon, put on an entertaining show. There was bombast, arm-waving and undisguised fury. “My unimaginable ordeal is the resul …",Business
322. Oscars ceremony will be hostless for second year running,"This year’s Oscars ceremony will be without a traditional host for the second year running, according to the ABC entertainment president, Karey Burke. …",Film
325. How the oil industry has spent billions to control the climate change conversation,"America’s oil companies are trying to rebrand themselves as part of the solution to the climate crisis, launching a campaign to counter top Democrats’ …",Business
"330. Calls for Whirlpool to refund 500,000 buyers of fire-risk appliances","Whirlpool should offer the owners of more than half a million recalled washing machines the option of a refund alongside a repair or replacement, acco …",Business
333. Barry Gardiner shocks Labour with hint he may run for leadership,"Barry Gardiner, the shadow international trade secretary, has said he is considering running for Labour party leader, in a shock announcement made jus …",Politics
336. The New Mutants: what should we expect from the cursed X-Men horror film?,"The X-Men horror The New Mutants has had quite the mutated journey to the screen: several scrapped release dates, abandoned reshoots, a new character …",Film
337. Uncut Gems review – this sparkler will be the most exciting film of the year,"This sensationally good New York crime drama is rocket-fuelled with greed and crack-fumed with fear. It is directed by the Safdie brothers, Benny and …",Film
339. For your consideration: this season's most overlooked film performances,"Academy awards voting opened last week, and runs for just six days: the shortest period of balloting ever, characteristic of a squeezed season that wi …",Film
351. Brazilian judge orders Netflix to remove 'gay Jesus' comedy,A Brazilian judge on Wednesday ordered Netflix to stop showing a Christmas special that some called blasphemous for depicting Jesus as a gay man and w …,Film
"352. Northern rail franchise could collapse within months, says Shapps","The troubled Northern rail franchise faces financial collapse within months, the transport secretary has said, as the government set out a timetable t …",Business
353. Buck Henry: the master of despair whose comedies seduced Hollywood,"The language of American comedy would have been a lot less sparky without Buck Henry, who has died aged 89. He helped shape one of the most revolution …",Film
355. El Topo review – Jodorowsky's weird world of occult psychedelia,"Now 90 and still a vigorously engaged public figure, the midnight-movie magus, comic-book artist and tarot enthusiast Alejandro Jodorowsky has become …",Film
356. Boris Johnson urges Iran president to end military action,"Summary: Boris Johnson has spoken to Iran’s president, Hassan Rouhani, to urge an end to further military retaliation in the region, amid efforts to try to de- …",Politics
357. Tesco sales win out in subdued Christmas for UK supermarkets,Tesco has emerged as one of the winners from a lacklustre Christmas for Britain’s biggest supermarket chains. The festive season is usually a boom tim …,Business
359. Willie Walsh: the pilot who landed the BA top job,"One of aviation’s most compelling characters is heading into the departures lounge, with the imminent retirement of Willie Walsh at 58. The Internatio …",Business
360. Brexit 'deepening inequalities among UK nationals in France',"Brexit is already deepening inequalities among British nationals in France, with some losing rights due to varying levels of Brexit preparedness among …",Politics
364. Thornberry gives Corbyn '0 out of 10' for election performance,The Labour leadership candidate Emily Thornberry has given Jeremy Corbyn “0 out of 10” for his performance during the general election. The shadow for …,Politics
366. Carlos Ghosn issued travel ban in Lebanon after Interpol red notice,"Japan has hit back at Carlos Ghosn after the former Nissan boss’s criticisms of the country’s justice system after his dramatic escape to Lebanon, as …",Business
367. Rail operators pay 16% more compensation claims for lateness,"Rail operators paid out more than 1.2m compensation claims over late trains last summer, a 16% increase compared to the previous year, as networks beg …",Business
"368. Vegan food, recycled tuxedos – and billions of tonnes of CO2: can Hollywood ever go green?",Summary: Two schools of thought regarding Hollywood environmentalism were on display at last weekend’s Golden Globes ceremony. In the blue corner were those de …,Film
371. Bafta to review voting system after diversity row,The British Academy of Film and Television Arts (Bafta) is reviewing its voting process after criticism over the lack of female directors or black and …,Film
"373. Labour leadership: Thornberry gives Corbyn '0 out of 10' for election, but '10 out of 10' for principle - as it happened",The Labour leadership candidate Emily Thornberry has given Jeremy Corbyn “0 out of 10” for his performance during the general election. Record numbers …,Politics
375. Brexit department ends – not with a bang but airbrushed out,From 31 January any mention of the word Brexit will officially be punishable by death. Anyone who is even suspected of thinking about Brexit will be c …,Politics
380. Wall Street hits record highs; UK rate cut hint hurts pound - as it happened,"Time for a recap Stocks on Wall Street have hit a fresh record high today, on signs that the US and Iran are de-escalating their conflict. Tech stocks …",Business
"382. Labour leadership: Long-Bailey, Nandy and Phillips win backing","Three more Labour leadership candidates – Rebecca Long-Bailey, Jess Phillips and Lisa Nandy – have joined Keir Starmer in securing enough nominations …",Politics
383. Liberty Steel and Hitachi Rail plan to cut up to 505 jobs in UK,Summary: The UK’s manufacturing sector has suffered a double blow after Liberty Steel and the rolling stock manufacturer Hitachi announced job cuts affecting u …,Business
385. Marks & Spencer feels the squeeze as focus on skinny jeans fails to fire,"After an era where skinny jeans ruled supreme, men’s trouser styles are becoming more relaxed and unstructured, with oversized fits becoming de rigueu …",Business
386. Boris Johnson’s Brexit bill heads for Lords after MPs’ vote,Boris Johnson’s Brexit bill cleared the House of Commons on Thursday in a major milestone that means the UK is on track to leave the EU on 31 January. …,Politics
391. MoD mistakes led to Trident upkeep costs rising by £1.35bn,"The cost of maintaining three nuclear sites spiralled by £1.35bn because of poor management by the Ministry of Defence (MoD), Whitehall’s watchdog has …",Politics
398. Is Kristen Stewart too good for big-budget blockbusters?,"Summary: There are two sorts of movie stars, and the demands of the market are such that the first type must occasionally pretend to be the second type. The fi …",Film
401. Failure to launch: why Bombshell doesn't hit its right-wing targets,"You won’t see adverts for Bombshell on the Fox News network, which is both unsurprising and part of the problem. Bombshell details the toxic regime of …",Film
404. The Christmas retail winners and losers,Summary: The traditionally lucrative Christmas trading period was a washout for many of Britain’s retailers in 2019 with more losers than winners emerging from …,Business
406. Emilio Estevez: ‘Brat Pack will be on my tombstone’,"Unlike his father and his brother, Emilio Estevez never changed his name. Ramon Estevez became Martin Sheen and Carlos Estevez is better known as Char …",Film
423. Jess Phillips: people would pay more tax for decent social care,The Labour leadership candidate Jess Phillips says she believes the public is prepared to pay more tax to get an NHS-style social care system that loo …,Politics
428. Before 1917: revisiting the greatest first world war movies,"About 35 minutes into Peter Weir’s Gallipoli, Archy (Mark Lee) and Frank (Mel Gibson), two champion-level sprinters from Australia, are trudging their …",Film
430. Czech new wave director Ivan Passer dies aged 86,"Ivan Passer, the film-maker who was a key figure in the Czech new wave and who went on to direct the thriller Cutter’s Way after emigrating to the US, …",Film
432. Just Eat and Takeaway.com cleared to form £6.2bn food courier giant,"Shareholders in Just Eat have given the green light to a £6.2bn merger with Dutch food delivery firm Takeaway.com, which will create one of the larges …",Business
438. Northern Ireland assembly to sit on Saturday after three years,Summary: Northern Ireland’s main political parties have agreed to a deal that will lead to the restoration of the power-sharing government in the region follow …,Politics
443. Long-Bailey calls on Momentum to back Angela Rayner for deputy,"The Labour leadership contender Rebecca Long-Bailey has written to leading figures in Momentum, urging the leftwing campaign group to throw its weight …",Politics
449. Thousands of independence supporters march in Glasgow,Thousands of independence supporters have begun marching through the streets of Glasgow. The march is the first of eight planned for 2020 by the grass …,Politics
468. Brexit deal: EU may threaten 'to block' City's access to its markets,Summary: The EU will be unashamedly “political” and block the City of London’s access to European markets if Boris Johnson tries to exempt the UK from its laws …,Politics
"475. Uncut Gems review – an exhilarating, full-blown assault of a movie","Watching the flayed-nerve onslaught that is Uncut Gems for the second time, it occurred to me that Josh and Benny Safdie are working with an entirely …",Film
477. Fan of Trump and Farage raises far-right ‘Q’ flag at his Cornish castle,A key supporter of Nigel Farage and Donald Trump has provoked ridicule after using his Cornish castle to fly the flag of a prominent conspiracy theory …,Politics
480. Gina Miller: ‘How do we preserve Britain as a tolerant place?’,Summary: The justice campaigner Gina Miller won two landmark legal victories that forced the government to be accountable to parliament over Brexit. Her autobi …,Politics
482. Scottish Labour turn down leader's federal UK strategy,"Summary: Scottish Labour’s executive has rejected its leader’s proposals for a special conference on federalism, which could have seen it support a multi-optio …",Politics
489. Jeremy Corbyn: Iran has 'no excuses' for shooting down airliner,Summary: Labour leader Jeremy Corbyn has told a rally in London that the shooting down of a passenger plane in Tehran was an “appalling act” for which there ca …,Politics
490. Keir Starmer’s team are confident – but expect a rival’s surge,Everything about Keir Starmer’s leadership campaign to date suggests it has been long in the planning. Fifty-seven years and four months ago his late …,Politics
495. There’s a chance for change in the Middle East and Britain has a role to play,Even by the standards of the Middle East it was a remarkable week. You have to deal with what presents itself in the region – there is little point in …,Politics
500. Johnson can now deliver a ‘Brexit in name only’. Will he?,Summary: I have occasionally referred over the years to a parody of an editorial which a group of us at the Financial Times once concocted on a slow news day. …,Business
501. Labour can’t change society on its own. We have to work with other parties,"History is littered with leaders and movements, now long vanished and mostly forgotten, who failed to get to the deep truths of how and why their defe …",Politics
502. Review hammers home problems with Persimmon,"At this point last year, housebuilder Persimmon had just started its most ambitious rebuilding project – constructing a new reputation for itself foll …",Business
503. Whitehall needs more scientists to compete with China: chief adviser,Britain’s civil service is suffering from a serious lack of scientific talent that threatens its ability to compete with nations such as China. That i …,Politics
510. My Oscar goes to... our film critics reveal their personal shortlists,Mark Kermode Best picture – my shortlist (favourite first) • PARASITE • Monos • Rocketman • For Sama • Little Women Many of my favourite films of 2019 …,Film
513. Seberg review – Kristen Stewart outshines flat script,"Based on the real-life targeted campaign of intimidation by the FBI against the American actress Jean Seberg, this portrait of a woman pushed to break …",Film
514. Rebecca Long-Bailey wants to abolish the House of Lords,Summary: The Labour leadership contender Rebecca Long-Bailey has said she wants to abolish the House of Lords and would not stand in the way of another Scottis …,Politics
519. 'Festival of Brexit' boss says £120m event will prove cynics wrong,"It has been mocked and pilloried as a “festival of Brexit”, but the newly appointed boss of the £120m nationwide celebration planned for 2022 has said …",Politics
527. Bling up my Roller! Inside the new breed of bespoke Rolls-Royce,"Rolls-Royce is cashing in on the trend for extravagantly upholstered luxury cars by producing vehicles with a range of upgrades including televisions, …",Business
528. UK interest rate cut looms as move backed by fifth policymaker,Momentum towards an interest cut is growing after a third member of the Bank of England’s rate-setting committee signalled that the British economy co …,Business
